conceptId,conceptName,domainId,vocabularyId,standardConcept,rc,dc,drc,dbc,sourceConceptId,sourceConceptName,sourceVocabularyId,sourceConceptCode,sourceRecordCount,sourceDatabaseCount
376114,Severe nonproliferative retinopathy due to diabetes mellitus,Condition,SNOMED,S,602109,14,1921293,14,37200164,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",ICD10CM,E10.3499,6622,9
45757079,Pre-existing diabetes mellitus in mother complicating childbirth,Condition,SNOMED,S,179404,12,179404,12,45606546,"Pre-existing type 1 diabetes mellitus, in childbirth",ICD10CM,O24.02,150386,11
4338896,Traction retinal detachment involving macula,Condition,SNOMED,S,111245,12,111245,12,37200171,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",ICD10CM,E10.3522,12688,10
4338896,Traction retinal detachment involving macula,Condition,SNOMED,S,111245,12,111245,12,37200170,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",ICD10CM,E10.3521,11262,9
4338896,Traction retinal detachment involving macula,Condition,SNOMED,S,111245,12,111245,12,37200172,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",ICD10CM,E10.3523,8336,10
4338896,Traction retinal detachment involving macula,Condition,SNOMED,S,111245,12,111245,12,37200173,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",ICD10CM,E10.3529,1226,8
4338897,Combined traction and rhegmatogenous retinal detachment,Condition,SNOMED,S,21168,12,21168,12,37200180,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",ICD10CM,E10.3541,2776,9
4338897,Combined traction and rhegmatogenous retinal detachment,Condition,SNOMED,S,21168,12,21168,12,37200181,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",ICD10CM,E10.3542,2674,8
4338897,Combined traction and rhegmatogenous retinal detachment,Condition,SNOMED,S,21168,12,21168,12,37200182,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",ICD10CM,E10.3543,2212,9
4338897,Combined traction and rhegmatogenous retinal detachment,Condition,SNOMED,S,21168,12,21168,12,37200183,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",ICD10CM,E10.3549,1094,9
