conceptId,conceptName,domainId,vocabularyId,standardConcept,rc,dc,drc,dbc,sourceConceptId,sourceConceptName,sourceVocabularyId,sourceConceptCode,sourceRecordCount,sourceDatabaseCount
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45197027,Loperamide 2 MG Oral Tablet [Anti-Diarrheal],NDC,00182108211,3261,6
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45341950,CVS ANTI-DIARRHEAL 2 MG CAPLET,NDC,50428232907,2191,7
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45154040,CVS ANTI-DIARRHEAL 2 MG CAPLET,NDC,50428232902,2131,9
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45205374,CVS ANTI-DIARRHEA 2 MG CAPLET,NDC,50428845958,1604,7
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45281040,ANTI-DIARRHEAL 2 MG CAPLET,NDC,70030061914,937,3
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,44914633,PV ANTI-DIARRHEAL 2 MG CAPLET,NDC,40986001283,918,1
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45230049,GNP ANTI-DIARRHEAL 2 MG CAPLET,NDC,87701079212,886,5
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45048276,SM ANTI-DIARRHEAL 2 MG CAPLET,NDC,10939023533,870,2
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,44895395,RA ANTI-DIARRHEAL 2 MG CAPLET,NDC,11822318550,848,5
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45014072,SM ANTI-DIARRHEAL 2 MG CAPLET,NDC,10939085633,767,6
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45067868,PUB ANTIDIARRHEAL 2 MG CAPLET,NDC,41415004173,664,6
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,44965260,PV ANTI-DIARRHEAL 2 MG CAPLET,NDC,40986001282,596,1
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,44940347,GNP ANTI-DIARRHEAL 2 MG CAPLET,NDC,87701040487,587,3
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45246996,GNP ANTI-DIARRHEAL 2 MG CAPLET,NDC,87701011896,559,2
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45036029,Loperamide 2 MG Oral Tablet [Anti-Diarrheal],NDC,52735054417,535,4
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,44898622,ANTI-DIARRHEAL 2 MG CAPLET,NDC,49614055467,500,2
19074272,bismuth subsalicylate 17.5 MG/ML Oral Suspension,Drug,RxNorm,S,752012,11,866437,11,45203944,PV DIARRHEA RLF 262 MG/15 ML,NDC,40986002864,537,4
439235,Self inflicted injury,Condition,SNOMED,S,859762,13,860562,13,45599542,"Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter",ICD10CM,T47.6X2A,1440,8
439235,Self inflicted injury,Condition,SNOMED,S,859762,13,860562,13,45565652,"Poisoning by antidiarrheal drugs, intentional self-harm, subsequent encounter",ICD10CM,T47.6X2D,700,7
442023,Poisoning of undetermined intent,Condition,SNOMED,S,47870,14,722301,14,45585006,"Poisoning by antidiarrheal drugs, undetermined, initial encounter",ICD10CM,T47.6X4A,941,9
4152376,Intentional self poisoning,Condition,SNOMED,S,3326,5,564559,14,45599542,"Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter",ICD10CM,T47.6X2A,1440,8
4152376,Intentional self poisoning,Condition,SNOMED,S,3326,5,564559,14,45565652,"Poisoning by antidiarrheal drugs, intentional self-harm, subsequent encounter",ICD10CM,T47.6X2D,700,7
40184712,loperamide hydrochloride 0.2 MG/ML Oral Solution,Drug,RxNorm,S,504607,11,536104,13,45167701,RA ANTI-DIARRHEAL 1 MG/5 ML,NDC,11822340980,7757,6
40184712,loperamide hydrochloride 0.2 MG/ML Oral Solution,Drug,RxNorm,S,504607,11,536104,13,45825085,loperamide hcl 1mg/5mL ORAL SOLUTION [sunmark anti diarrheal],NDC,493480277,2080,4
40184712,loperamide hydrochloride 0.2 MG/ML Oral Solution,Drug,RxNorm,S,504607,11,536104,13,45804581,loperamide hcl 1mg/5mL ORAL SOLUTION [good sense anti diarrheal],NDC,001130377,1676,5
40184712,loperamide hydrochloride 0.2 MG/ML Oral Solution,Drug,RxNorm,S,504607,11,536104,13,45812392,loperamide hcl 1mg/5mL ORAL SOLUTION [good neighbor pharmacy anti diarrheal],NDC,243850377,1031,2
40184712,loperamide hydrochloride 0.2 MG/ML Oral Solution,Drug,RxNorm,S,504607,11,536104,13,45816287,loperamide hcl 1mg/5mL ORAL SOLUTION [leader anti diarrheal],NDC,372050377,792,2
40488434,Medication dose too low,Condition,SNOMED,S,517495,13,517495,13,45580198,"Underdosing of antidiarrheal drugs, initial encounter",ICD10CM,T47.6X6A,900,9
40184722,loperamide hydrochloride 2 MG / simethicone 125 MG Oral Tablet,Drug,RxNorm,S,6301,9,41809,12,44931678,PV ANTI-DIARRHEAL+GAS RELIEF,NDC,40986002202,500,5
437192,Antidiarrheal drug adverse reaction,Observation,SNOMED,S,12731,14,12731,14,44823750,Antidiarrheal drugs causing adverse effects in therapeutic use,ICD9CM,E943.5,7662,13
437192,Antidiarrheal drug adverse reaction,Observation,SNOMED,S,12731,14,12731,14,45570503,"Adverse effect of antidiarrheal drugs, initial encounter",ICD10CM,T47.6X5A,5149,11
437192,Antidiarrheal drug adverse reaction,Observation,SNOMED,S,12731,14,12731,14,45609103,"Adverse effect of antidiarrheal drugs, subsequent encounter",ICD10CM,T47.6X5D,800,8
435980,Poisoning by antidiarrheal drug,Condition,SNOMED,S,11935,15,11935,15,44820240,Poisoning by antidiarrheal drugs,ICD9CM,973.5,7226,13
435980,Poisoning by antidiarrheal drug,Condition,SNOMED,S,11935,15,11935,15,45589848,"Poisoning by antidiarrheal drugs, accidental (unintentional), initial encounter",ICD10CM,T47.6X1A,3078,10
435980,Poisoning by antidiarrheal drug,Condition,SNOMED,S,11935,15,11935,15,45599542,"Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter",ICD10CM,T47.6X2A,1440,8
435980,Poisoning by antidiarrheal drug,Condition,SNOMED,S,11935,15,11935,15,45585006,"Poisoning by antidiarrheal drugs, undetermined, initial encounter",ICD10CM,T47.6X4A,941,9
435980,Poisoning by antidiarrheal drug,Condition,SNOMED,S,11935,15,11935,15,45565652,"Poisoning by antidiarrheal drugs, intentional self-harm, subsequent encounter",ICD10CM,T47.6X2D,700,7
435980,Poisoning by antidiarrheal drug,Condition,SNOMED,S,11935,15,11935,15,45541599,"Poisoning by antidiarrheal drugs, accidental (unintentional), subsequent encounter",ICD10CM,T47.6X1D,500,5
